id,segment
1,政府投资和企业投资。
2,财政资金
3,本级财政预算
4,政府
5,中央资金
6,政府投资
7,政府还迁款
8,中央专项资金、省级财政资金
9,市本级财政预算资金
10,市级财政预算
11,政府资金
12,区城乡建设投资开发有限公司出资
13,国有资金
14,城投公司自筹
15,市土地增值收益投资
16,财政
17,中央和地方财政资金
18,中央资金和招标人自筹
19,上级补助资金及县财政出资
20,县级财政预算
21,东区政府财政资金
22,中央资金及地方配套
23,财政性资金
24,一是攀枝花火车南站建设对现警犬基地的征地拆迁补偿费用，二是市本级财政统筹安排资金
25,一是“十三五”政法基础设施建设项目中央预算内资金，二是攀枝花市火车南站建设征地补偿费；三是攀枝花市火车南站站前基础设施建设项目及毅德城项目征地补偿费
26,财政投资
27,政府投资（县级资金）
28,区财政资金
29,中央预算内投资、民航发展基金、财政资金
30,易地扶贫搬迁资金
31,县财政拨款
32,中央预算内专项资金及地方配套资金
33,区政府拨款
34,教育专项
35,市本级财政预算
36,申请国家补助资金，其余地方配套解决
37,中央财政资金
38,财政拨款
39,专项资金和
40,中央、省、县级财政资金
41,中央财政水利发展和地方配套资金
42,中央预算内投资与地方配套资金
43,中央水利发展资金和地方配套资金
44,中央预算内投资
45,省级发展资金
46,省级“全面改薄”资金
47,上级补助和县财政配套
48,上级财政资金
49,县级财政投资
50,补助资金
51,中央财政水利发展资金
52,中央财政资金和
53,土地置换
54,政府投资、教育附加和地方教育附加等
55,市城投公司筹措
56,国家“全面改薄”专项资金
57,申请中央预算内专项资金及自筹
58,财政拨款和街道自筹
59,中央投资
60,地方财政
61,区财政拨款
62,中央专项彩票公益金及地方财政配套资金
63,省补助及地方政府自筹
64,申请省补助资金和地方政府自筹
65,企业自筹和国家专项资金
66,中央财政预算内专项资金与地方配套资金
67,中央预算内投资与地方配套资金，
68,中央财政及地方配套资金
69,中央预算及地方配套资金
70,市级财政预算内专项资金
71,中央预算内存量资金
72,国家中职产教融合专项资金
73,国家中职产教融合专项资金及学校自筹
74,中、省预审内投资及地方配套
75,财政专项资金、政策性
76,政府出资
77,荆州市城市建设投资开发有限公司出资
78,市城投公司投资
79,城投土地置换补偿资金
80,省级补助资金及区级配套
81,省级财政专项和地方配套
82,易地扶贫搬迁专项资金
83,财政资金及争取上级补助
84,中央财政专项资金及自筹
